TRANSPORTATION_EVENT_ID,EVENT_CODE,NAME,DESCRIPTION
151,ER,ESTIMATE RECEIVED,Estimate Received
152,PL,"US DEPT. AGR, HOLD FOR INTENS",USDA Hold - Intensive Investigation
153,RN,RENOTIFICATION,Re-Notification
154,VA,VESSEL ARRIVAL,Vessel Arrival
155,X2,ESTIMATED TIME OF ARRIVAL AT ,ETA at Consignee Location
158,DA,REPAIR AUTHORIZATION REQUESTE,Repair Authorization Requested
159,DR,REPAIR AUTHORIZATION RECEIVED,Repair Authorization Received
161,HE,HELD-AWAITING SHIPPER'S EXPO,Held - Awaiting Shipper's Export Document
162,PM,"US DEPT. AGR, HOLD FOR UNREGI",USDA Hold - Unregistered Producer
163,R,RECEIVED FROM PRIOR CARRIER,Received from Prior Carrier
164,UA,UNIT - LEASED TO CONNECTING L,Unit - Leased to Connecting Line
165,UR,UNLOADED FROM A RAIL CAR,Unloaded from Rail Car
166,X3,ARRIVED AT PICK-UP LOCATION,Arrived at Pickup Location
167,AP,LOADED ON FEEDER VESSEL,Loaded on Feeder Vessel
168,B,BAD ORDER (INOPERATIVE OR DAM,Bad Order (Inoperative or Damaged)
169,CA,SHIPMENT CANCELLED,Shipment Cancelled
170,CR,CARRIER RELEASE,Carrier Release
171,DS,DAMAGE SURVEY REQUESTED,Damage Survey Requested
172,HF,HELD-AWAITING RECOUNT/WEIGHT/,Held - Awaiting Recount/Weight/Description
173,PN,"US DEPT. AGR, HOLD FOR RESTRI",USDA Hold - Restricted Commodity
174,S,SPOTTED AT CONSIGNEE'S LOCAT,Spotted at Consignee's Location
175,UB,UNIT - RETURNED FROM CONNECTI,Unit - Returned from Connecting Line
176,X4,ARRIVED AT TERMINAL LOCATION,Arrived at Terminal Location
177,2,RETURNED TO CARRIER'S TERMIN,Returned to Carrier's Terminal
178,BA,SET OFF AT AGENT,Set Off at Agent
179,BR,BILL OF LADING RELEASED,Bill of Lading Released
180,C,ESTIMATED TO DEPART TERMINAL ,Estimated to Depart Terminal Location
181,C1,CANADA CUSTOMS HOLD,Canada Customs Hold
182,CB,CHASSIS TIE,Chassis Tie
183,CS,CONTAINER SEALED,Container Sealed
184,DC,UNIT CLEANED,Unit Cleaned
185,DT,DAMAGE SURVEY COMPLETED,Damage Survey Completed
186,ED,EARLY DELIVERY APPOINTMENT DA,Early Delivery Appointment Date and/or Time
187,HG,HELD ON GROUND,Held on Ground
188,ON,ON-HIRE CONTAINER,On-Hire Container
189,PO,"US DEPT. AGR, HOLD FOR INSECT",USDA Hold - Insect Infestation
190,SA,SHIPMENT SPLIT,Shipment Split
191,T,AT TERMINAL - INTTRA TERMINAL,Intra-Terminal Movement at Terminal
192,UC,UNIT - SHOPPED HELD AT TERMIN,Unit - Shopped Held at Terminal
193,VD,VESSEL DEPARTURE,Vessel Departure
194,X5,ARRIVED AT DELIVERY LOCATION ,Arrived at Delivery Location Loading Dock
800000,DV,VESSEL ARRIVAL DEVIATION,Vessel Arrival Deviation
800100,?,Unrecognized EDI Event,Unrecognized EDI Event
800200,DD,VESSEL DEPARTURE DEVIATION,Vessel Departure Deviation
800201,0,Unrecognized EDI Event,Unrecognized EDI Event
800202,I ,Unrecognized EDI Event,Automatically generated from EDI message
800203,OV,Unrecognized EDI Event,Unrecognized EDI Event
800204,VT,Unrecognized EDI Event,Unrecognized EDI Event
800205,AT,Unrecognized EDI Event,Unrecognized EDI Event
800206,80,Unrecognized EDI Event,Return Container (Empty)
800207,98,Unrecognized EDI Event,In Gate (Full)
800208,99,Unrecognized EDI Event,Out Gate (Full)
800209,27,Unrecognized EDI Event,Empty Equipment Dispatched
800210,48,Unrecognized EDI Event,Loaded on Vessel
800211,29,Unrecognized EDI Event,Unloaded from Vessel
800212,24,Unrecognized EDI Event,Vessel Departure
800213,1,Unrecognized EDI Event,Vessel Arrival
800214,82,Unrecognized EDI Event,Return Container (Empty)
800215,78,Unrecognized EDI Event,Carrier Release
800357,TA,Unrecognized EDI Event,Unrecognized EDI Event
800358,TD,Unrecognized EDI Event,Unrecognized EDI Event
800359,CL,Unrecognized EDI Event,Automatically generated from EDI message
